buoy_id,time,latitude,longitude,station_id,Hmax,HmaxPeriod,Havg,Tavg,qcflag
,UTC,degrees_north,degrees_east,,m,s,m,s,
1,2017-09-10T18:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,13.01,12.04,4.3632,8.98,0
1,2017-09-10T19:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.65,13.72,4.1821,8.88,0
1,2017-09-10T19:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.04,13.8,4.9577,10.23,0
1,2017-09-10T20:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,12.44,11.73,4.6774,9.83,0
1,2017-09-10T20:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.19,14.35,4.5142,10.17,0
1,2017-09-10T21:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.69,13.5,4.6884,10.11,0
1,2017-09-10T21:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.15,13.35,4.2188,9.68,0
1,2017-09-10T22:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.02,13.12,4.3235,10.06,0
1,2017-09-10T22:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.89,10.37,4.3746,9.86,0
1,2017-09-10T23:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,12.59,13.55,4.6132,10.19,0
1,2017-09-10T23:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.22,12.27,4.3263,10.07,0
1,2017-09-11T00:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.69,12.33,4.3571,10.18,0
1,2017-09-11T00:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.52,12.8,3.9697,9.45,0
1,2017-09-11T01:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.99,11.33,4.087,9.08,0
1,2017-09-11T01:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.06,13.28,4.1021,9.55,0
1,2017-09-11T02:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.21,10.87,3.7121,9.29,0
1,2017-09-11T02:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,11.91,12.42,4.38,10.1,0
1,2017-09-11T03:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.69,12.35,3.7957,9.43,0
1,2017-09-11T03:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.15,13.21,3.832,9.43,0
1,2017-09-11T04:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.76,11.93,4.2864,10.01,0
1,2017-09-11T04:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.1,11.37,3.7896,9.11,0
1,2017-09-11T05:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.72,10.31,3.5649,8.78,0
1,2017-09-11T05:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.48,14.1,3.667,8.91,0
1,2017-09-11T06:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.65,10.54,3.6153,8.97,0
1,2017-09-11T06:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.18,9.21,3.5264,9.29,0
1,2017-09-11T07:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.99,13.12,3.5949,9.19,0
1,2017-09-11T07:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.33,9.01,3.4185,8.69,0
1,2017-09-11T08:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.69,9.24,2.937,8.13,0
1,2017-09-11T08:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.55,9.12,3.1525,8.35,0
1,2017-09-11T09:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.73,13.78,3.1728,8.38,0
1,2017-09-11T09:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.06,10.55,3.3888,8.57,0
1,2017-09-11T10:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.06,11.04,3.3533,8.69,0
1,2017-09-11T10:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.7,10.79,3.201,8.6,0
1,2017-09-11T11:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.03,7.98,3.1164,8.41,0
1,2017-09-11T11:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.77,10.57,2.9954,8.07,0
1,2017-09-11T12:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.56,9.91,3.0223,8.49,0
1,2017-09-11T12:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.05,11.3,2.8528,8.23,0
1,2017-09-11T13:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.12,12.0,2.8726,8.02,0
1,2017-09-11T13:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.14,13.54,2.749,7.56,0
1,2017-09-11T14:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.26,9.02,2.9437,8.06,0
1,2017-09-11T14:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.88,11.63,2.9563,8.19,0
1,2017-09-11T15:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.49,9.59,2.875,8.19,0
2,2017-09-10T18:30:00Z,52.754683,-9.703683,Westwave MK3,12.91,9.87,4.9599,9.64,0
2,2017-09-10T19:00:00Z,52.754683,-9.703683,Westwave MK3,10.69,11.85,4.1781,8.54,0
2,2017-09-10T19:30:00Z,52.754683,-9.703683,Westwave MK3,12.75,12.27,4.8619,9.6,0
2,2017-09-10T20:00:00Z,52.754683,-9.703683,Westwave MK3,12.81,12.74,5.6495,10.23,0
2,2017-09-10T20:30:00Z,52.754683,-9.703683,Westwave MK3,14.63,11.35,4.9244,9.53,0
2,2017-09-10T21:00:00Z,52.754683,-9.703683,Westwave MK3,11.15,11.58,5.2208,10.01,0
2,2017-09-10T21:30:00Z,52.754683,-9.703683,Westwave MK3,12.19,12.7,5.404,10.24,0
2,2017-09-10T22:00:00Z,52.754683,-9.703683,Westwave MK3,11.46,9.47,4.7824,9.89,0
2,2017-09-10T22:30:00Z,52.754683,-9.703683,Westwave MK3,13.56,12.3,5.2741,10.26,0
2,2017-09-10T23:00:00Z,52.754683,-9.703683,Westwave MK3,14.41,13.46,4.903,9.8,0
2,2017-09-10T23:30:00Z,52.754683,-9.703683,Westwave MK3,12.62,12.99,4.755,9.68,0
2,2017-09-11T00:00:00Z,52.754683,-9.703683,Westwave MK3,10.8,12.54,4.9551,10.16,0
2,2017-09-11T00:30:00Z,52.754683,-9.703683,Westwave MK3,12.86,10.95,5.3173,10.08,0
2,2017-09-11T01:00:00Z,52.754683,-9.703683,Westwave MK3,11.69,12.96,5.0043,10.52,0
