longitude,latitude,altitude,time,station_id,Water_Level,Water_Level_LAT,Water_Level_OD_Malin,QC_Flag
-6.2217,53.3457,0.0,2017-09-11T12:20:00Z,Dublin Port,3.384,3.384,0.494,0.0
-6.0683,53.3915,0.0,2017-09-11T12:24:00Z,Howth Harbour,3.622,3.622,0.66,0.0
-9.048,53.269,0.0,2017-09-11T12:24:00Z,Galway Port,2.189,2.189,-1.138,0.0
-8.3949,54.6364,0.0,2017-09-11T12:24:00Z,Killybegs Port,1.908,1.908,-0.686,0.0
-7.3344,55.3717,0.0,2017-09-11T12:24:00Z,Malin Head,2.234,2.234,-0.096,0.0
-9.8928,54.2536,0.0,2017-09-11T12:24:00Z,Ballyglass,1.774,1.774,-0.538,0.0
-8.4955,54.9905,0.0,2017-09-11T12:24:00Z,Aranmore,1.93,1.93,-0.622,0.0
-6.99188,52.14767,0.0,2017-09-11T12:24:00Z,Dunmore,1.857,1.857,-0.878,0.0
-8.0007,51.8278,0.0,2017-09-11T12:24:00Z,Ballycotton,1.696,1.696,-0.967,0.0
-6.2217,53.3457,0.0,2017-09-11T12:25:00Z,Dublin Port,3.439,3.439,0.549,0.0
-6.2217,53.3457,0.0,2017-09-11T12:30:00Z,Dublin Port,3.489,3.489,0.599,0.0
-6.0683,53.3915,0.0,2017-09-11T12:30:00Z,Howth Harbour,3.672,3.672,0.71,0.0
-9.048,53.269,0.0,2017-09-11T12:30:00Z,Galway Port,2.118,2.118,-1.209,0.0
-9.9034,51.6496,0.0,2017-09-11T12:30:00Z,Castletownbere,1.244,1.244,-1.19,0.0
-8.4955,54.9905,0.0,2017-09-11T12:30:00Z,Aranmore,1.81,1.81,-0.742,0.0
-9.8928,54.2536,0.0,2017-09-11T12:30:00Z,Ballyglass,1.72,1.72,-0.592,0.0
-7.3344,55.3717,0.0,2017-09-11T12:30:00Z,Malin Head,2.139,2.139,-0.191,0.0
-8.3949,54.6364,0.0,2017-09-11T12:30:00Z,Killybegs Port,1.832,1.832,-0.762,0.0
-8.0007,51.8278,0.0,2017-09-11T12:30:00Z,Ballycotton,1.583,1.583,-1.08,0.0
-6.99188,52.14767,0.0,2017-09-11T12:30:00Z,Dunmore,1.743,1.743,-0.992,0.0
-6.2217,53.3457,0.0,2017-09-11T12:35:00Z,Dublin Port,3.529,3.529,0.639,0.0
-9.048,53.269,0.0,2017-09-11T12:36:00Z,Galway Port,2.04,2.04,-1.287,0.0
-6.0683,53.3915,0.0,2017-09-11T12:36:00Z,Howth Harbour,3.732,3.732,0.77,0.0
-8.3949,54.6364,0.0,2017-09-11T12:36:00Z,Killybegs Port,1.758,1.758,-0.836,0.0
-7.3344,55.3717,0.0,2017-09-11T12:36:00Z,Malin Head,2.109,2.109,-0.221,0.0
-9.8928,54.2536,0.0,2017-09-11T12:36:00Z,Ballyglass,1.668,1.668,-0.644,0.0
-8.4955,54.9905,0.0,2017-09-11T12:36:00Z,Aranmore,1.812,1.812,-0.74,0.0
-6.99188,52.14767,0.0,2017-09-11T12:36:00Z,Dunmore,1.742,1.742,-0.993,0.0
-8.0007,51.8278,0.0,2017-09-11T12:36:00Z,Ballycotton,1.623,1.623,-1.04,0.0
-6.2217,53.3457,0.0,2017-09-11T12:40:00Z,Dublin Port,3.578,3.578,0.688,0.0
-9.048,53.269,0.0,2017-09-11T12:42:00Z,Galway Port,1.951,1.951,-1.376,0.0
-6.0683,53.3915,0.0,2017-09-11T12:42:00Z,Howth Harbour,3.782,3.782,0.82,0.0
-8.4955,54.9905,0.0,2017-09-11T12:42:00Z,Aranmore,1.726,1.726,-0.826,0.0
-9.8928,54.2536,0.0,2017-09-11T12:42:00Z,Ballyglass,1.59,1.59,-0.722,0.0
-7.3344,55.3717,0.0,2017-09-11T12:42:00Z,Malin Head,2.164,2.164,-0.166,0.0
-8.3949,54.6364,0.0,2017-09-11T12:42:00Z,Killybegs Port,1.71,1.71,-0.884,0.0
-8.0007,51.8278,0.0,2017-09-11T12:42:00Z,Ballycotton,1.548,1.548,-1.115,0.0
-6.99188,52.14767,0.0,2017-09-11T12:42:00Z,Dunmore,1.718,1.718,-1.017,0.0
-6.2217,53.3457,0.0,2017-09-11T12:45:00Z,Dublin Port,3.607,3.607,0.717,0.0
-9.9034,51.6496,0.0,2017-09-11T12:45:00Z,Castletownbere,1.174,1.174,-1.26,0.0
-9.048,53.269,0.0,2017-09-11T12:48:00Z,Galway Port,1.881,1.881,-1.446,0.0
-6.0683,53.3915,0.0,2017-09-11T12:48:00Z,Howth Harbour,3.832,3.832,0.87,0.0
-8.3949,54.6364,0.0,2017-09-11T12:48:00Z,Killybegs Port,1.654,1.654,-0.94,0.0
-7.3344,55.3717,0.0,2017-09-11T12:48:00Z,Malin Head,2.058,2.058,-0.272,0.0
-9.8928,54.2536,0.0,2017-09-11T12:48:00Z,Ballyglass,1.533,1.533,-0.779,0.0
-8.4955,54.9905,0.0,2017-09-11T12:48:00Z,Aranmore,1.78,1.78,-0.772,0.0
-6.99188,52.14767,0.0,2017-09-11T12:48:00Z,Dunmore,1.658,1.658,-1.077,0.0
