station_id,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,QC_Flag
M3,-10.548261,51.215958,2018-01-21T12:00:00Z,NaN,NaN,NaN,NaN,4.219,7.266,267.0,6.094,12.261,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-21T12:00:00Z,NaN,242.0,22.627,32.589,NaN,NaN,NaN,NaN,11.304,NaN,10.117,NaN,96.094,0.0
M5,-6.704336,51.690426,2018-01-21T12:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.894,NaN,NaN,NaN,96.094,0.0
M6,-15.88135,53.07482,2018-01-21T12:00:00Z,1003.7,260.0,29.0,41.0,4.9,7.0,NaN,NaN,10.8,10.8,11.3,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-21T13:00:00Z,NaN,237.0,19.639,26.612,NaN,NaN,NaN,NaN,11.509,NaN,10.151,NaN,91.016,0.0
M5,-6.704336,51.690426,2018-01-21T13:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0
M3,-10.548261,51.215958,2018-01-21T13:00:00Z,NaN,NaN,NaN,NaN,3.906,7.031,263.0,6.328,12.261,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-21T13:00:00Z,1004.5,250.0,30.0,41.0,6.0,9.0,NaN,NaN,10.6,10.6,11.3,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-21T14:00:00Z,NaN,NaN,NaN,NaN,4.063,7.148,264.0,6.328,12.158,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-21T14:00:00Z,NaN,266.0,25.046,35.008,NaN,NaN,NaN,NaN,10.552,NaN,10.151,NaN,84.375,0.0
M5,-6.704336,51.690426,2018-01-21T14:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.859,NaN,NaN,NaN,96.484,0.0
M6,-15.88135,53.07482,2018-01-21T14:00:00Z,1004.5,260.0,26.0,37.0,6.0,8.0,NaN,NaN,10.9,10.9,11.2,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-21T15:00:00Z,NaN,NaN,NaN,NaN,4.375,7.383,267.0,6.094,11.953,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-21T15:00:00Z,NaN,266.0,28.889,40.985,NaN,NaN,NaN,NaN,10.107,NaN,10.151,NaN,85.547,0.0
M6,-15.88135,53.07482,2018-01-21T15:00:00Z,1004.9,260.0,28.0,41.0,6.2,9.0,NaN,NaN,10.9,10.9,11.3,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-21T16:00:00Z,NaN,NaN,NaN,NaN,4.844,7.617,266.0,7.5,11.577,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-21T16:00:00Z,NaN,274.0,23.054,31.593,NaN,NaN,NaN,NaN,10.244,NaN,10.151,NaN,82.813,0.0
M6,-15.88135,53.07482,2018-01-21T16:00:00Z,1004.9,260.0,27.0,39.0,5.9,8.0,NaN,NaN,10.7,10.7,11.2,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-21T17:00:00Z,NaN,267.0,23.766,33.3,NaN,NaN,NaN,NaN,10.107,NaN,10.186,NaN,77.734,0.0
M3,-10.548261,51.215958,2018-01-21T17:00:00Z,NaN,NaN,NaN,NaN,4.219,7.148,273.0,7.031,11.509,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-21T17:00:00Z,1005.1,260.0,24.0,37.0,5.8,8.0,NaN,NaN,10.5,10.5,11.2,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-21T18:00:00Z,NaN,263.0,21.916,30.454,NaN,NaN,NaN,NaN,10.381,NaN,10.22,NaN,75.781,0.0
M3,-10.548261,51.215958,2018-01-21T18:00:00Z,NaN,NaN,NaN,NaN,4.375,7.617,269.0,6.797,11.577,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-21T18:00:00Z,1005.7,270.0,23.0,33.0,5.4,8.0,NaN,NaN,10.4,10.4,11.3,NaN,100.0,0.0
