buoy_id,time,latitude,longitude,station_id,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,PeakPeriod,qcflag
1,2017-09-11T17:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,295.3,27.3,4.51,9.815064,8.53,7.692,13.33,0
1,2017-09-11T17:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,23.7,4.53,9.254424,8.16,7.547,11.76,0
1,2017-09-11T18:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,278.4,30.6,3.97,9.276967,7.88,7.018,12.5,0
1,2017-09-11T18:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,296.7,23.2,4.52,9.631391,8.41,7.547,12.5,0
1,2017-09-11T19:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,282.7,26.6,4.27,9.291582,8.09,7.407,12.5,0
1,2017-09-11T19:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,295.3,22.3,3.89,9.412419,8.06,7.273,12.5,0
1,2017-09-11T20:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,22.4,4.31,9.339816,8.16,7.407,12.5,0
1,2017-09-11T20:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,296.7,26.7,3.98,9.058194,7.92,7.143,10.53,0
1,2017-09-11T21:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,289.7,29.7,3.82,8.844031,7.64,6.897,12.5,0
1,2017-09-11T21:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,26.9,3.73,9.074344,7.85,7.143,12.5,0
1,2017-09-11T22:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,24.4,3.96,9.169151,8.01,7.273,11.76,0
1,2017-09-11T22:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,299.5,21.0,3.81,8.955738,7.86,7.143,11.76,0
1,2017-09-11T23:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,295.3,27.0,3.73,8.935829,7.84,7.143,11.76,0
1,2017-09-11T23:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,293.9,28.9,3.72,8.896013,7.8,7.143,12.5,0
1,2017-09-12T00:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,289.7,27.5,3.62,8.7353,7.66,7.018,11.76,0
1,2017-09-12T00:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,289.7,20.6,3.29,8.719908,7.58,6.897,11.76,0
1,2017-09-12T01:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,22.2,3.48,8.563201,7.53,6.897,11.11,0
1,2017-09-12T01:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,25.0,3.27,8.55615,7.48,6.897,11.11,0
1,2017-09-12T02:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,277.0,21.2,3.62,8.587696,7.64,7.143,11.11,0
