buoy_id,time,latitude,longitude,station_id,Hmax,HmaxPeriod,Havg,Tavg,qcflag
1,2018-01-21T12:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.64,9.8,1.9313,7.2,0
1,2018-01-21T12:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.68,9.22,1.9791,7.25,0
1,2018-01-21T13:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.36,8.57,2.1552,7.41,0
1,2018-01-21T13:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.59,9.05,2.0989,7.27,0
1,2018-01-21T14:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.92,11.49,2.3092,7.12,0
1,2018-01-21T14:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.23,8.39,2.1769,6.84,0
1,2018-01-21T15:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.94,9.19,2.0975,6.73,0
1,2018-01-21T15:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,5.9,10.15,2.5033,7.31,0
1,2018-01-21T16:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.93,8.77,2.4707,7.28,0
1,2018-01-21T16:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.85,9.28,2.6562,7.74,0
1,2018-01-21T17:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.93,8.63,2.7841,7.59,0
1,2018-01-21T17:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.09,10.27,2.8667,7.87,0
1,2018-01-21T18:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,6.51,9.97,2.7837,7.98,0
1,2018-01-21T18:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.04,10.44,3.0043,7.97,0
1,2018-01-21T19:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.83,11.31,3.1444,8.48,0
1,2018-01-21T19:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.03,10.71,3.042,8.02,0
1,2018-01-21T20:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.19,10.75,3.1955,8.52,0
1,2018-01-21T20:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.28,10.58,3.0369,8.29,0
1,2018-01-21T21:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.85,11.58,3.0513,8.4,0
1,2018-01-21T21:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.5,10.7,3.0705,8.39,0
1,2018-01-21T22:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.52,8.52,3.1363,8.62,0
1,2018-01-21T22:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.06,10.02,3.3607,8.89,0
1,2018-01-21T23:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.1,11.2,3.1242,8.42,0
1,2018-01-21T23:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.04,11.3,3.1342,8.37,0
1,2018-01-22T00:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.43,11.78,3.3505,9.1,0
1,2018-01-22T00:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.84,10.17,3.2637,8.66,0
1,2018-01-22T01:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.99,12.8,3.3875,8.83,0
1,2018-01-22T01:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.34,9.07,3.2994,8.94,0
1,2018-01-22T02:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.34,12.15,3.47,9.19,0
1,2018-01-22T02:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.38,12.68,3.1285,8.6,0
1,2018-01-22T03:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.84,11.56,3.4362,9.0,0
1,2018-01-22T03:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.8,10.6,3.7724,9.86,0
1,2018-01-22T04:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.92,11.19,2.9622,8.35,0
1,2018-01-22T04:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.97,12.26,3.1329,8.51,0
1,2018-01-22T05:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.02,11.77,3.0335,8.46,0
1,2018-01-22T05:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.53,13.06,3.0619,8.7,0
1,2018-01-22T06:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.67,13.1,3.2416,8.89,0
1,2018-01-22T06:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.6,12.87,3.288,9.27,0
1,2018-01-22T07:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.03,8.39,3.0543,8.48,0
1,2018-01-22T07:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,9.7,12.08,3.2506,9.14,0
1,2018-01-22T08:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.23,13.12,3.3778,9.34,0
1,2018-01-22T08:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,7.91,13.94,3.4815,9.38,0
1,2018-01-22T09:00:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,10.91,10.62,3.3374,9.25,0
1,2018-01-22T09:30:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,8.85,13.28,3.2806,9.06,0
