station_id,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,QC_Flag
,degrees_east,degrees_north,UTC,mb,degrees_true,kn,kn,m,s,degrees_true,m,degree_C,degree_C,degree_C,PSU,percent,
M2,-5.424046,53.481003,2017-09-10T19:00:00Z,986.511,266.0,22.912,31.45,1.836,4.805,250.0,2.832,13.73,NaN,14.8,NaN,68.75,0.0
M4,-9.999136,54.999966,2017-09-10T19:00:00Z,978.748,290.0,19.781,33.443,NaN,NaN,NaN,NaN,13.628,NaN,14.185,NaN,87.5,0.0
M5,-6.704336,51.690426,2017-09-10T19:00:00Z,993.469,278.0,25.331,33.3,3.281,6.211,184.0,4.688,14.756,NaN,15.654,NaN,66.406,0.0
M6,-15.88135,53.07482,2017-09-10T19:00:00Z,998.3,290.0,38.0,52.0,8.9,11.0,NaN,NaN,13.6,10.0,15.1,NaN,79.0,0.0
M4,-9.999136,54.999966,2017-09-10T20:00:00Z,979.59,296.0,20.777,31.735,NaN,NaN,NaN,NaN,13.628,NaN,14.253,NaN,87.891,0.0
M5,-6.704336,51.690426,2017-09-10T20:00:00Z,993.286,270.0,24.62,35.15,3.594,6.445,210.0,5.156,14.551,NaN,15.654,NaN,71.484,0.0
M2,-5.424046,53.481003,2017-09-10T20:00:00Z,986.511,246.0,19.923,26.327,1.953,4.688,250.0,2.832,13.32,NaN,14.834,NaN,77.344,0.0
M6,-15.88135,53.07482,2017-09-10T20:00:00Z,998.5,290.0,33.0,54.0,8.5,10.0,NaN,NaN,13.8,9.7,15.1,NaN,76.0,0.0
M5,-6.704336,51.690426,2017-09-10T21:00:00Z,992.847,262.0,28.035,36.289,3.438,6.328,229.0,4.688,14.551,NaN,15.62,NaN,66.797,0.0
M2,-5.424046,53.481003,2017-09-10T21:00:00Z,985.12,241.0,24.05,32.731,1.719,4.57,242.0,2.246,13.56,NaN,14.834,NaN,72.656,0.0
M4,-9.999136,54.999966,2017-09-10T21:00:00Z,980.469,309.0,20.066,29.743,NaN,NaN,NaN,NaN,13.491,NaN,14.287,NaN,87.5,0.0
M6,-15.88135,53.07482,2017-09-10T21:00:00Z,999.3,290.0,35.0,51.0,8.6,10.0,NaN,NaN,13.6,9.8,15.1,NaN,78.0,0.0
M4,-9.999136,54.999966,2017-09-10T22:00:00Z,981.348,295.0,19.496,30.454,NaN,NaN,NaN,NaN,13.628,NaN,14.253,NaN,88.672,0.0
M5,-6.704336,51.690426,2017-09-10T22:00:00Z,992.444,261.0,26.327,36.431,3.594,6.328,174.0,5.625,14.38,NaN,15.654,NaN,69.531,0.0
M2,-5.424046,53.481003,2017-09-10T22:00:00Z,983.765,229.0,21.773,29.885,1.797,4.57,231.0,2.637,13.56,NaN,14.8,NaN,79.688,0.0
M6,-15.88135,53.07482,2017-09-10T22:00:00Z,999.7,300.0,33.0,49.0,8.5,10.0,NaN,NaN,13.2,10.8,15.1,NaN,85.0,0.0
