longitude,latitude,altitude,time,station_id,Water_Level,Water_Level_LAT,Water_Level_OD_Malin,QC_Flag
-6.2217,53.3457,0.0,2018-01-21T11:50:00Z,Dublin Port,3.567,3.567,0.756,0.0
-6.0683,53.3915,0.0,2018-01-21T11:54:00Z,Howth Harbour,3.817,3.817,0.86,0.0
-9.048,53.269,0.0,2018-01-21T11:54:00Z,Galway Port,2.373,2.373,-1.004,0.0
-8.3949,54.6364,0.0,2018-01-21T11:54:00Z,Killybegs Port,2.338,2.338,-0.253,0.0
-9.6669,53.1178,0.0,2018-01-21T11:54:00Z,Inishmore,2.01,2.01,-0.991,0.0
-7.3344,55.3717,0.0,2018-01-21T11:54:00Z,Malin Head - Portmore Pier,2.444,2.444,0.142,0.0
-9.8928,54.2536,0.0,2018-01-21T11:54:00Z,Ballyglass Harbour,2.057,2.057,-0.242,0.0
-8.4955,54.9905,0.0,2018-01-21T11:54:00Z,Aranmore Island - Leabgarrow,2.478,2.478,-0.073,0.0
-8.582,54.3099,0.0,2018-01-21T11:54:00Z,Sligo,2.325,2.325,-0.137,0.0
-8.0007,51.8278,0.0,2018-01-21T11:54:00Z,Ballycotton Harbour,1.752,1.752,-0.92,0.0
-6.99188,52.14767,0.0,2018-01-21T11:54:00Z,Dunmore East Harbour,1.936,1.936,-0.802,0.0
-9.50208,52.63191,0.0,2018-01-21T11:54:00Z,Kilrush Lough,-0.981,-0.981,-0.981,0.0
-9.90442,53.76235,0.0,2018-01-21T11:54:00Z,Roonagh Pier,-4.1,-4.1,-4.1,0.0
-6.06809,53.391335,0.0,2018-01-21T11:54:00Z,Howth Harbour 2,0.923,0.923,0.923,0.0
-10.27732,52.13924,0.0,2018-01-21T11:54:00Z,Dingle Harbour,-1.355,-1.355,-1.355,0.0
-6.2217,53.3457,0.0,2018-01-21T11:55:00Z,Dublin Port,3.625,3.625,0.814,0.0
-6.2217,53.3457,0.0,2018-01-21T12:00:00Z,Dublin Port,3.693,3.693,0.882,0.0
-6.0683,53.3915,0.0,2018-01-21T12:00:00Z,Howth Harbour,3.907,3.907,0.95,0.0
-9.9034,51.6496,0.0,2018-01-21T12:00:00Z,Castletownbere Port,1.311,1.311,-1.13,0.0
-8.0007,51.8278,0.0,2018-01-21T12:00:00Z,Ballycotton Harbour,1.723,1.723,-0.949,0.0
-8.582,54.3099,0.0,2018-01-21T12:00:00Z,Sligo,2.235,2.235,-0.227,0.0
-8.4955,54.9905,0.0,2018-01-21T12:00:00Z,Aranmore Island - Leabgarrow,2.298,2.298,-0.253,0.0
-9.8928,54.2536,0.0,2018-01-21T12:00:00Z,Ballyglass Harbour,2.055,2.055,-0.244,0.0
-7.3344,55.3717,0.0,2018-01-21T12:00:00Z,Malin Head - Portmore Pier,2.444,2.444,0.142,0.0
-9.6669,53.1178,0.0,2018-01-21T12:00:00Z,Inishmore,1.898,1.898,-1.103,0.0
-8.3949,54.6364,0.0,2018-01-21T12:00:00Z,Killybegs Port,2.271,2.271,-0.32,0.0
-9.048,53.269,0.0,2018-01-21T12:00:00Z,Galway Port,2.309,2.309,-1.068,0.0
-10.27732,52.13924,0.0,2018-01-21T12:00:00Z,Dingle Harbour,-1.431,-1.431,-1.431,0.0
-6.06809,53.391335,0.0,2018-01-21T12:00:00Z,Howth Harbour 2,1.003,1.003,1.003,0.0
-9.90442,53.76235,0.0,2018-01-21T12:00:00Z,Roonagh Pier,-3.879,-3.879,-3.879,0.0
-9.50208,52.63191,0.0,2018-01-21T12:00:00Z,Kilrush Lough,-1.06,-1.06,-1.06,0.0
-6.99188,52.14767,0.0,2018-01-21T12:00:00Z,Dunmore East Harbour,1.858,1.858,-0.88,0.0
-6.2217,53.3457,0.0,2018-01-21T12:05:00Z,Dublin Port,3.764,3.764,0.953,0.0
-6.06809,53.391335,0.0,2018-01-21T12:06:00Z,Howth Harbour 2,1.04,1.04,1.04,0.0
-9.50208,52.63191,0.0,2018-01-21T12:06:00Z,Kilrush Lough,-1.127,-1.127,-1.127,0.0
-10.27732,52.13924,0.0,2018-01-21T12:06:00Z,Dingle Harbour,-1.454,-1.454,-1.454,0.0
-6.0683,53.3915,0.0,2018-01-21T12:06:00Z,Howth Harbour,3.907,3.907,0.95,0.0
