Label,Description,Component Type,Codelist
station_id,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/station_id
longitude,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/longitude
latitude,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/latitude
time,time,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/time
AtmosphericPressure,,Measure,
WindDirection,,Measure,
WindSpeed,,Measure,
Gust,,Measure,
WaveHeight,,Measure,
WavePeriod,,Measure,
MeanWaveDirection,,Measure,
Hmax,,Measure,
AirTemperature,,Measure,
DewPoint,,Measure,
SeaTemperature,,Measure,
salinity,,Measure,
RelativeHumidity,,Measure,
QC_Flag,,Measure,
