title,name,component_attachment,property_template,value_template,datatype,value_transformation
buoy_id,buoy_id,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/buoy_id,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/buoy_id/{buoy_id},string,
time,time,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/time,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/time/{time},string,
latitude,latitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/latitude,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/latitude/{latitude},string,
longitude,longitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/longitude,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/longitude/{longitude},string,
station_id,station_id,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/dimension/station_id,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept/station_id/{station_id},string,slugize
PeakDirection,peakdirection,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakdirection,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakdirection/{peakdirection},string,
PeakSpread,peakspread,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakspread,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakspread/{peakspread},string,
SignificantWaveHeight,significantwaveheight,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/significantwaveheight,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/significantwaveheight/{significantwaveheight},string,
EnergyPeriod,energyperiod,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/energyperiod,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/energyperiod/{energyperiod},string,
MeanWavePeriod_Tm01,meanwaveperiod_tm01,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwaveperiod_tm01,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwaveperiod_tm01/{meanwaveperiod_tm01},string,
MeanWavePeriod_Tm02,meanwaveperiod_tm02,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwaveperiod_tm02,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/meanwaveperiod_tm02/{meanwaveperiod_tm02},string,
PeakPeriod,peakperiod,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakperiod,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/peakperiod/{peakperiod},string,
qcflag,qcflag,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/qcflag,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/qcflag/{qcflag},string,
value,value,,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/{measure_type},,number,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://www.opengovintelligence.eu/statistics/marine-institute/def/measure/{measure_type},string,slugize
