buoy_id,time,latitude,longitude,station_id,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,PeakPeriod,qcflag
1,2010-01-01T12:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.8,28,2.11,8.982799,7.93,7.273,11.76,1
1,2010-01-01T12:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,0,29.9,2.09,8.838069,7.87,7.273,9.09,1
1,2010-01-01T13:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,7,27,2.11,8.952924,7.9,7.273,10,1
1,2010-01-01T13:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,345.9,26,2.04,8.800822,7.79,7.273,10,1
1,2010-01-01T14:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,351.6,28.6,2.11,8.951566,7.92,7.273,11.76,1
1,2010-01-01T14:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,345.9,25.5,2.19,8.88544,7.96,7.407,10,1
1,2010-01-01T15:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,355.8,21.9,2.22,9.006253,8.06,7.547,10.53,1
1,2010-01-01T15:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,353,23.3,2.08,8.852078,7.99,7.407,10.53,1
1,2010-01-01T16:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,358.6,28.9,2.04,8.864322,7.96,7.407,9.09,1
1,2010-01-01T16:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,350.2,25.1,2.11,8.915344,7.99,7.407,10,1
1,2010-01-01T17:06:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,353,25.2,2.09,8.945249,8.02,7.407,11.76,1
1,2010-01-01T17:36:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,358.6,27,2.07,8.833258,7.95,7.407,10.53,1
