buoy_id,time,latitude,longitude,station_id,Hmax,HmaxPeriod,Havg,Tavg,qcflag
1,2010-01-01T13:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.33,8.45,1.1999,7.37,1
1,2010-01-01T14:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.09,11.18,1.2426,7.36,1
1,2010-01-01T14:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.34,7.67,1.3368,7.67,1
1,2010-01-01T15:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.18,9.85,1.2024,7.47,1
1,2010-01-01T15:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.87,9.02,1.2209,7.67,1
1,2010-01-01T16:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.03,8.78,1.252,7.54,1
1,2010-01-01T16:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.91,8.89,1.2587,7.5,1
1,2010-01-01T17:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.23,8.13,1.1139,7.09,1
1,2010-01-01T17:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.37,7.67,1.1936,7.57,1
1,2010-01-01T18:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.08,11.15,1.2882,7.73,1
1,2010-01-01T18:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.89,9.32,1.1491,7.51,1
1,2010-01-01T19:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.76,8.62,1.1791,7.47,1
1,2010-01-01T19:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.77,8,1.2839,7.57,1
1,2010-01-01T20:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.23,7.79,1.2283,7.5,1
1,2010-01-01T20:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.35,8.45,1.1955,7.5,1
1,2010-01-01T21:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.89,7.42,1.3054,7.68,1
1,2010-01-01T21:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.26,8.86,1.1869,7.4,1
1,2010-01-01T22:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.73,8.97,1.2212,7.45,1
1,2010-01-01T22:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.19,8.9,1.1193,7.34,1
1,2010-01-01T23:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.92,9.15,1.1559,7.68,1
1,2010-01-01T23:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.88,9.87,1.0892,7.17,1
1,2010-01-02T00:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.8,8.83,1.1282,7.15,1
1,2010-01-02T00:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.16,7.51,1.2044,7.45,1
1,2010-01-02T01:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.72,8.66,1.0657,7.27,1
1,2010-01-02T01:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.89,7.78,1.1316,7.32,1
1,2010-01-02T02:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.99,9.72,1.1214,7.33,1
1,2010-01-02T02:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.23,9.74,1.1089,7.23,1
1,2010-01-02T03:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.92,10.01,1.0789,7.06,1
1,2010-01-02T03:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.13,10.06,1.1212,6.99,1
1,2010-01-02T04:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.7,8.5,1.1486,6.93,1
1,2010-01-02T04:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.98,10.2,1.1327,6.72,1
1,2010-01-02T05:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.92,9.59,1.1512,6.49,1
1,2010-01-02T05:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.96,8.45,1.1321,6.55,1
1,2010-01-02T06:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.17,9.6,1.0993,6.4,1
1,2010-01-02T06:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.82,8.39,1.0032,5.78,1
1,2010-01-02T07:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.85,9.22,1.1256,6.28,1
1,2010-01-02T07:30:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,3.52,9.03,1.2166,6.54,1
1,2010-01-02T08:00:00Z,54.233933,-10.1429,Belmullet Wave Buoy Berth B,2.9,9.42,1.1441,6.24,1
