Label,Description,Component Type,Codelist
longitude,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/longitude
latitude,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/latitude
altitude,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/altitude
time,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/time
station_id,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/station_id
datasourceid,,Dimension,http://www.opengovintelligence.eu/statistics/marine-institute/def/concept-scheme/datasource_id
Water_Level,,Measure,
Water_Level_LAT,,Measure,
Water_Level_OD_Malin,,Measure,
QC_Flag,,Measure,
