station_id,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,QC_Flag
M2,-5.424046,53.481003,2017-09-11T17:00:00Z,996.985,287.0,17.789,24.762,1.641,4.336,326.0,2.148,15.063,NaN,14.663,NaN,75.781,0.0
M4,-9.999136,54.999966,2017-09-11T17:00:00Z,999.878,323.0,18.785,25.9,NaN,NaN,NaN,NaN,13.491,NaN,14.15,NaN,76.563,0.0
M6,-15.88135,53.07482,2017-09-11T17:00:00Z,1008.9,290.0,17.0,25.0,3.7,7.0,NaN,NaN,13.4,7.6,15.0,NaN,68.0,0.0
M5,-6.704336,51.690426,2017-09-11T17:00:00Z,1001.819,286.0,20.777,26.185,2.5,5.625,170.0,3.281,15.098,NaN,14.971,NaN,77.344,0.0
M2,-5.424046,53.481003,2017-09-11T18:00:00Z,997.644,290.0,19.781,26.612,1.602,4.219,326.0,2.344,14.38,NaN,14.697,NaN,80.469,0.0
M4,-9.999136,54.999966,2017-09-11T18:00:00Z,1000.464,327.0,18.073,32.731,NaN,NaN,NaN,NaN,13.525,NaN,14.116,NaN,83.984,0.0
M6,-15.88135,53.07482,2017-09-11T18:00:00Z,1009.1,290.0,17.0,23.0,3.6,7.0,NaN,NaN,13.4,8.2,14.9,NaN,71.0,0.0
M5,-6.704336,51.690426,2017-09-11T18:00:00Z,1002.075,291.0,21.062,27.039,2.344,5.859,160.0,3.516,15.234,NaN,15.039,NaN,75.0,0.0
M4,-9.999136,54.999966,2017-09-11T19:00:00Z,1001.013,313.0,18.073,23.481,NaN,NaN,NaN,NaN,13.457,NaN,14.116,NaN,83.203,0.0
M6,-15.88135,53.07482,2017-09-11T19:00:00Z,1009.1,300.0,16.0,23.0,3.4,7.0,NaN,NaN,13.2,8.5,15.0,NaN,73.0,0.0
M2,-5.424046,53.481003,2017-09-11T19:00:00Z,998.926,288.0,19.639,26.043,1.523,4.219,329.0,1.953,14.106,NaN,14.697,NaN,79.688,0.0
M5,-6.704336,51.690426,2017-09-11T19:00:00Z,1002.954,298.0,22.058,27.466,2.344,5.742,167.0,3.047,14.858,NaN,15.039,NaN,74.609,0.0
M5,-6.704336,51.690426,2017-09-11T20:00:00Z,1004.053,298.0,21.489,28.604,2.344,5.625,166.0,3.281,14.585,NaN,15.039,NaN,74.219,0.0
M2,-5.424046,53.481003,2017-09-11T20:00:00Z,999.731,286.0,21.062,27.608,1.523,4.219,316.0,2.051,13.696,NaN,14.629,NaN,78.906,0.0
M4,-9.999136,54.999966,2017-09-11T20:00:00Z,1001.636,314.0,17.219,22.912,NaN,NaN,NaN,NaN,13.525,NaN,14.116,NaN,82.422,0.0
M6,-15.88135,53.07482,2017-09-11T20:00:00Z,1009.3,290.0,15.0,25.0,3.7,7.0,NaN,NaN,13.1,8.0,15.0,NaN,71.0,0.0
M4,-9.999136,54.999966,2017-09-11T21:00:00Z,1002.148,317.0,15.654,24.335,NaN,NaN,NaN,NaN,13.149,NaN,14.116,NaN,83.984,0.0
M5,-6.704336,51.690426,2017-09-11T21:00:00Z,1004.639,292.0,20.635,25.758,2.5,5.508,183.0,3.281,14.243,NaN,15.005,NaN,76.953,0.0
M2,-5.424046,53.481003,2017-09-11T21:00:00Z,1000.537,285.0,19.212,24.762,1.445,4.102,308.0,1.953,13.491,NaN,14.595,NaN,83.594,0.0
M6,-15.88135,53.07482,2017-09-11T21:00:00Z,1009.3,260.0,12.0,27.0,3.4,7.0,NaN,NaN,12.8,8.2,14.9,NaN,74.0,0.0
M2,-5.424046,53.481003,2017-09-11T22:00:00Z,1001.123,288.0,20.35,27.181,1.406,4.102,305.0,1.953,13.252,NaN,14.629,NaN,82.813,0.0
M4,-9.999136,54.999966,2017-09-11T22:00:00Z,1002.258,303.0,15.512,21.062,NaN,NaN,NaN,NaN,13.218,NaN,14.116,NaN,82.031,0.0
M5,-6.704336,51.690426,2017-09-11T22:00:00Z,1005.005,291.0,22.058,27.75,2.344,5.391,153.0,3.281,14.072,NaN,15.039,NaN,78.906,0.0
M6,-15.88135,53.07482,2017-09-11T22:00:00Z,1009.1,280.0,14.0,20.0,3.2,7.0,NaN,NaN,13.3,8.4,15.0,NaN,72.0,0.0
M4,-9.999136,54.999966,2017-09-11T23:00:00Z,1002.441,299.0,13.377,19.496,NaN,NaN,NaN,NaN,13.047,NaN,14.082,NaN,81.641,0.0
M5,-6.704336,51.690426,2017-09-11T23:00:00Z,1006.03,292.0,19.781,25.189,2.188,5.156,149.0,2.813,13.867,NaN,15.176,NaN,78.516,0.0
M2,-5.424046,53.481003,2017-09-11T23:00:00Z,1001.599,278.0,18.358,25.046,1.563,4.336,295.0,2.832,13.081,NaN,14.663,NaN,84.766,0.0
M6,-15.88135,53.07482,2017-09-11T23:00:00Z,1009.1,260.0,17.0,23.0,3.1,7.0,NaN,NaN,12.8,8.9,15.0,NaN,77.0,0.0
M2,-5.424046,53.481003,2017-09-12T00:00:00Z,1001.709,275.0,16.081,23.623,1.68,4.453,288.0,2.246,12.91,NaN,14.697,NaN,86.328,0.0
M4,-9.999136,54.999966,2017-09-12T00:00:00Z,1002.734,290.0,14.231,20.92,NaN,NaN,NaN,NaN,13.184,NaN,14.116,NaN,78.906,0.0
M5,-6.704336,51.690426,2017-09-12T00:00:00Z,1006.14,286.0,20.208,24.762,2.031,5.156,138.0,2.578,13.73,NaN,15.244,NaN,80.078,0.0
M6,-15.88135,53.07482,2017-09-12T00:00:00Z,1008.7,290.0,10.0,21.0,3.2,7.0,NaN,NaN,11.9,7.0,15.0,NaN,72.0,0.0
M5,-6.704336,51.690426,2017-09-12T01:00:00Z,1006.909,291.0,17.077,22.485,1.875,5.039,198.0,2.813,13.696,NaN,15.278,NaN,80.469,0.0
M2,-5.424046,53.481003,2017-09-12T01:00:00Z,1002.112,279.0,18.785,24.335,1.484,4.57,290.0,2.246,12.671,NaN,14.629,NaN,87.109,0.0
M4,-9.999136,54.999966,2017-09-12T01:00:00Z,1002.917,293.0,14.943,20.066,NaN,NaN,NaN,NaN,13.218,NaN,14.15,NaN,80.078,0.0
M6,-15.88135,53.07482,2017-09-12T01:00:00Z,1008.5,300.0,7.0,18.0,3.2,7.0,NaN,NaN,12.0,7.3,15.0,NaN,73.0,0.0
M4,-9.999136,54.999966,2017-09-12T02:00:00Z,1003.101,306.0,14.8,20.493,NaN,NaN,NaN,NaN,12.637,NaN,14.253,NaN,82.813,0.0
M5,-6.704336,51.690426,2017-09-12T02:00:00Z,1007.202,290.0,17.789,23.908,1.719,5.156,170.0,2.578,13.594,NaN,15.21,NaN,80.469,0.0
