buoy_id,time,latitude,longitude,station_id,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,PeakPeriod,qcflag
,UTC,degrees_north,degrees_east,,degrees_true,degrees_true,m,s,s,s,s,
1,2017-09-10T18:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,25.7,7.32,10.966999,9.73,8.889,13.33,0
1,2017-09-10T19:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,23.2,7.42,10.993086,9.82,9.091,13.33,0
1,2017-09-10T19:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,18.9,7.05,11.312377,9.97,9.091,14.29,0
1,2017-09-10T20:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,282.7,19.8,8.24,11.664516,10.43,9.524,14.29,0
1,2017-09-10T20:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,21.2,7.54,11.484446,10.1,9.302,15.38,0
1,2017-09-10T21:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,22.0,7.38,11.98649,10.54,9.524,15.38,0
1,2017-09-10T21:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,14.8,7.99,12.227544,10.91,10.0,13.33,0
1,2017-09-10T22:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,17.3,7.12,12.07347,10.52,9.524,16.67,0
1,2017-09-10T22:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,277.0,22.0,7.12,12.232669,10.68,9.524,14.29,0
1,2017-09-10T23:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,282.7,22.2,7.76,12.521276,10.97,9.756,14.29,0
1,2017-09-10T23:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,21.6,7.79,12.362035,10.81,9.756,15.38,0
1,2017-09-11T00:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,279.8,23.9,7.06,12.001896,10.34,9.302,15.38,0
1,2017-09-11T00:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,274.2,15.2,7.58,12.939822,11.24,10.0,16.67,0
