buoy_id,time,latitude,longitude,station_id,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,PeakPeriod,qcflag
1,2018-01-21T12:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,272.8,29.2,3.24,8.423829,7.39,6.667,10.53,0
1,2018-01-21T12:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,260.2,36.7,3.25,8.541886,7.53,6.897,10.53,0
1,2018-01-21T13:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,277.0,26.5,3.46,8.891807,7.86,7.143,10.53,0
1,2018-01-21T13:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,265.8,23.6,3.75,8.631509,7.62,7.018,11.11,0
1,2018-01-21T14:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,261.6,34.5,3.62,8.381177,7.39,6.78,10.0,0
1,2018-01-21T14:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,271.4,22.6,4.07,8.479414,7.51,7.018,10.0,0
1,2018-01-21T15:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,264.4,28.2,3.69,8.320054,7.35,6.78,11.11,0
1,2018-01-21T15:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,263.0,21.5,4.13,8.606367,7.68,7.143,10.0,0
1,2018-01-21T16:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,264.4,22.0,4.31,8.645013,7.74,7.273,11.11,0
1,2018-01-21T16:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,270.0,20.8,4.25,8.747128,7.8,7.273,11.11,0
1,2018-01-21T17:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,268.6,25.9,4.39,8.854352,7.95,7.407,11.76,0
1,2018-01-21T17:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,263.0,20.5,4.64,8.947682,7.98,7.407,11.76,0
1,2018-01-21T18:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,268.6,20.4,5.0,9.341856,8.46,7.843,10.53,0
1,2018-01-21T18:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,261.6,24.5,4.91,9.17341,8.27,7.692,10.53,0
1,2018-01-21T19:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,261.6,19.7,5.21,9.686483,8.7,8.0,10.53,0
1,2018-01-21T19:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,271.4,18.4,5.46,9.993381,9.05,8.333,11.76,0
1,2018-01-21T20:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,278.4,25.0,5.3,9.83214,8.74,8.0,11.76,0
1,2018-01-21T20:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,264.4,29.0,5.15,9.761116,8.69,8.0,11.76,0
1,2018-01-21T21:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,271.4,26.4,5.18,9.910588,8.84,8.0,11.76,0
1,2018-01-21T21:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,282.7,28.8,5.37,10.180902,9.09,8.333,12.5,0
1,2018-01-21T22:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,265.8,21.5,5.26,9.997871,8.97,8.163,11.11,0
1,2018-01-21T22:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,263.0,31.7,5.23,10.243205,9.11,8.333,12.5,0
1,2018-01-21T23:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,267.2,25.3,5.54,10.352809,9.22,8.333,12.5,0
1,2018-01-21T23:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,270.0,23.8,5.8,10.350335,9.26,8.511,11.76,0
